From	To
CASC3_HUMAN	CASC3
VGF_HUMAN	VGF
CLIC2_HUMAN	CLIC2
ACOX3_HUMAN	ACOX3
RER1_HUMAN	RER1
SURF4_HUMAN	SURF4
MK13_HUMAN	MAPK13
SPTC1_HUMAN	SPTLC1
SPTC2_HUMAN	SPTLC2
TELT_HUMAN	TCAP
OGT1_HUMAN	OGT
PMM2_HUMAN	PMM2
TM9S1_HUMAN	TM9SF1
HMGB3_HUMAN	HMGB3
PPM1G_HUMAN	PPM1G
SHIP2_HUMAN	INPPL1
EIF3D_HUMAN	EIF3D
EIF3H_HUMAN	EIF3H
HDAC3_HUMAN	HDAC3
NVL_HUMAN	NVL
BCAT2_HUMAN	BCAT2
IPO8_HUMAN	IPO8
STX7_HUMAN	STX7
MRP3_HUMAN	ABCC3
MRP4_HUMAN	ABCC4
P4HA2_HUMAN	P4HA2
YKT6_HUMAN	YKT6
ARPC5_HUMAN	ARPC5
RPB4_HUMAN	POLR2D
DDX3Y_HUMAN	DDX3Y
PDPK1_HUMAN	PDPK1
R113A_HUMAN	RNF113A
CLD3_HUMAN	CLDN3
DHX15_HUMAN	DHX15
MCES_HUMAN	RNMT
ZZEF1_HUMAN	ZZEF1
FLRT2_HUMAN	FLRT2
PLXB1_HUMAN	PLXNB1
RRP8_HUMAN	RRP8
SI1L1_HUMAN	SIPA1L1
CYB5B_HUMAN	CYB5B
PRP4_HUMAN	PRPF4
SERA_HUMAN	PHGDH
NDUS4_HUMAN	NDUFS4
SEPT4_HUMAN	SEPTIN4
DC1L2_HUMAN	DYNC1LI2
PSMD3_HUMAN	PSMD3
RFOX2_HUMAN	RBFOX2
PAPS1_HUMAN	PAPSS1
SIAH2_HUMAN	SIAH2
ZW10_HUMAN	ZW10
SPIT1_HUMAN	SPINT1
SNUT1_HUMAN	SART1
SPIT2_HUMAN	SPINT2
GPAA1_HUMAN	GPAA1
DAPK3_HUMAN	DAPK3
TGFI1_HUMAN	TGFB1I1
HS12A_HUMAN	HSPA12A
VIP2_HUMAN	PPIP5K2
M3K7_HUMAN	MAP3K7
MCA3_HUMAN	EEF1E1
LYRM1_HUMAN	LYRM1
RASL2_HUMAN	RASA4
HNRPR_HUMAN	HNRNPR
PRPF3_HUMAN	PRPF3
TXNL1_HUMAN	TXNL1
TPD54_HUMAN	TPD52L2
EMC8_HUMAN	EMC8
P52K_HUMAN	THAP12
FIBP_HUMAN	FIBP
IF4G3_HUMAN	EIF4G3
HTRA2_HUMAN	HTRA2
ARK72_HUMAN	AKR7A2
PROM1_HUMAN	PROM1
E41L2_HUMAN	EPB41L2
TGON2_HUMAN	TGOLN2
B4GA1_HUMAN	B4GAT1
AT8B1_HUMAN	ATP8B1
CAH12_HUMAN	CA12
SYT7_HUMAN	SYT7
DENR_HUMAN	DENR
XPOT_HUMAN	XPOT
DNPH1_HUMAN	DNPH1
TIM44_HUMAN	TIMM44
TPPC3_HUMAN	TRAPPC3
CHM2A_HUMAN	CHMP2A
NCK2_HUMAN	NCK2
TSN6_HUMAN	TSPAN6
PLRG1_HUMAN	PLRG1
ZN207_HUMAN	ZNF207
NDUB5_HUMAN	NDUFB5
NDUB3_HUMAN	NDUFB3
NDUC1_HUMAN	NDUFC1
NDUA2_HUMAN	NDUFA2
GET3_HUMAN	GET3
BUB3_HUMAN	BUB3
AKA7A_HUMAN	AKAP7
ACTN4_HUMAN	ACTN4
GATC_HUMAN	GATC
HTSF1_HUMAN	HTATSF1
ERD23_HUMAN	KDELR3
AP1G1_HUMAN	AP1G1
STX6_HUMAN	STX6
SNG1_HUMAN	SYNGR1
SNG2_HUMAN	SYNGR2
SGTA_HUMAN	SGTA
MCAT_HUMAN	SLC25A20
SYNC_HUMAN	NARS1
MYO1B_HUMAN	MYO1B
CPSF5_HUMAN	NUDT21
LANC1_HUMAN	LANCL1
STRN_HUMAN	STRN
U3IP2_HUMAN	RRP9
SCO2_HUMAN	SCO2
CF410_HUMAN	CFAP410
AKAP8_HUMAN	AKAP8
GTPB6_HUMAN	GTPBP6
G6PT1_HUMAN	SLC37A4
IDH3B_HUMAN	IDH3B
NRDC_HUMAN	NRDC
CALU_HUMAN	CALU
ATP9B_HUMAN	ATP9B
SAHH2_HUMAN	AHCYL1
KIF1C_HUMAN	KIF1C
GAS2_HUMAN	GAS2
ORC5_HUMAN	ORC5
TYOBP_HUMAN	TYROBP
NDUS5_HUMAN	NDUFS5
ORC4_HUMAN	ORC4
RAD21_HUMAN	RAD21
TIM8A_HUMAN	TIMM8A
DHX16_HUMAN	DHX16
ZNRD2_HUMAN	ZNRD2
GMFG_HUMAN	GMFG
H6ST1_HUMAN	HS6ST1
KPRB_HUMAN	PRPSAP2
GBG7_HUMAN	GNG7
SMCA5_HUMAN	SMARCA5
K0513_HUMAN	KIAA0513
JIP4_HUMAN	SPAG9
KIF5C_HUMAN	KIF5C
SI1L3_HUMAN	SIPA1L3
LZTS3_HUMAN	LZTS3
AQR_HUMAN	AQR
MAST3_HUMAN	MAST3
OPA1_HUMAN	OPA1
KDM1A_HUMAN	KDM1A
TBCD4_HUMAN	TBC1D4
PEPL_HUMAN	PPL
MA1A2_HUMAN	MAN1A2
ACSL4_HUMAN	ACSL4
SNX3_HUMAN	SNX3
OGA_HUMAN	OGA
VINEX_HUMAN	SORBS3
HNRPQ_HUMAN	SYNCRIP
PRP17_HUMAN	CDC40
B4GT3_HUMAN	B4GALT3
B4GT4_HUMAN	B4GALT4
RNBP6_HUMAN	RANBP6
NEMF_HUMAN	NEMF
GMDS_HUMAN	GMDS
NMT2_HUMAN	NMT2
CCNT1_HUMAN	CCNT1
PLOD3_HUMAN	PLOD3
IF4E2_HUMAN	EIF4E2
CCNT2_HUMAN	CCNT2
DIAP1_HUMAN	DIAPH1
SEP15_HUMAN	SELENOF
TSN3_HUMAN	TSPAN3
EXOC3_HUMAN	EXOC3
PLIN3_HUMAN	PLIN3
MOT2_HUMAN	SLC16A7
IMA7_HUMAN	KPNA6
UGDH_HUMAN	UGDH
TPST2_HUMAN	TPST2
CTND1_HUMAN	CTNND1
SNX2_HUMAN	SNX2
DPM1_HUMAN	DPM1
USO1_HUMAN	USO1
RT14_HUMAN	MRPS14
TOM1_HUMAN	TOM1
H2B1K_HUMAN	H2BC12
F262_HUMAN	PFKFB2
CCD22_HUMAN	CCDC22
PQBP1_HUMAN	PQBP1
PRAF2_HUMAN	PRAF2
DKC1_HUMAN	DKC1
IF2P_HUMAN	EIF5B
ZG16_HUMAN	ZG16
EDF1_HUMAN	EDF1
DIAP2_HUMAN	DIAPH2
DNJA2_HUMAN	DNAJA2
BRD4_HUMAN	BRD4
CUTA_HUMAN	CUTA
NSMA_HUMAN	SMPD2
TBL1X_HUMAN	TBL1X
B4GT2_HUMAN	B4GALT2
CATL2_HUMAN	CTSV
PFD1_HUMAN	PFDN1
NBN_HUMAN	NBN
DTNB_HUMAN	DTNB
ABCB7_HUMAN	ABCB7
PLXA2_HUMAN	PLXNA2
CAPON_HUMAN	NOS1AP
XYLK_HUMAN	FAM20B
WDR1_HUMAN	WDR1
ATP9A_HUMAN	ATP9A
ROCK2_HUMAN	ROCK2
CLAP2_HUMAN	CLASP2
COBL_HUMAN	COBL
CPNE3_HUMAN	CPNE3
HIP1R_HUMAN	HIP1R
BRE1B_HUMAN	RNF40
ZC11A_HUMAN	ZC3H11A
CLU_HUMAN	CLUH
CAND2_HUMAN	CAND2
T22D2_HUMAN	TSC22D2
DJC13_HUMAN	DNAJC13
PP6R2_HUMAN	PPP6R2
CNOT3_HUMAN	CNOT3
ANR17_HUMAN	ANKRD17
DNJB6_HUMAN	DNAJB6
COQ9_HUMAN	COQ9
GGCT_HUMAN	GGCT
NDUS7_HUMAN	NDUFS7
NDUS2_HUMAN	NDUFS2
NIPS2_HUMAN	NIPSNAP2
PDCD6_HUMAN	PDCD6
TBCA_HUMAN	TBCA
VATG1_HUMAN	ATP6V1G1
VPS4B_HUMAN	VPS4B
ENTP3_HUMAN	ENTPD3
H2AY_HUMAN	MACROH2A1
SH3L1_HUMAN	SH3BGRL
FLNB_HUMAN	FLNB
VAMP4_HUMAN	VAMP4
NDUS6_HUMAN	NDUFS6
PEX14_HUMAN	PEX14
TRIM3_HUMAN	TRIM3
LAT3_HUMAN	SLC43A1
CISY_HUMAN	CS
SC22B_HUMAN	SEC22B
PR40A_HUMAN	PRPF40A
TACC1_HUMAN	TACC1
LRCH4_HUMAN	LRCH4
MTX2_HUMAN	MTX2
VP26A_HUMAN	VPS26A
NDUB1_HUMAN	NDUFB1
MPPB_HUMAN	PMPCB
KTNA1_HUMAN	KATNA1
ERN1_HUMAN	ERN1
PSIP1_HUMAN	PSIP1
ERLN1_HUMAN	ERLIN1
GPC4_HUMAN	GPC4
NDUS3_HUMAN	NDUFS3
SRS10_HUMAN	SRSF10
HSBP1_HUMAN	HSBP1
ECI2_HUMAN	ECI2
KHDR3_HUMAN	KHDRBS3
TADA3_HUMAN	TADA3
BAF_HUMAN	BANF1
SF3B1_HUMAN	SF3B1
CSDE1_HUMAN	CSDE1
PRKRA_HUMAN	PRKRA
MED6_HUMAN	MED6
KBL_HUMAN	GCAT
NPM3_HUMAN	NPM3
LYPA1_HUMAN	LYPLA1
U520_HUMAN	SNRNP200
MTU1_HUMAN	TRMU
TIPRL_HUMAN	TIPRL
TM1L1_HUMAN	TOM1L1
SURF6_HUMAN	SURF6
PPM1B_HUMAN	PPM1B
UTP20_HUMAN	UTP20
NU155_HUMAN	NUP155
XRP2_HUMAN	RP2
CRTAP_HUMAN	CRTAP
CMC1_HUMAN	SLC25A12
TCEA3_HUMAN	TCEA3
PALM_HUMAN	PALM
RENR_HUMAN	ATP6AP2
RNH2A_HUMAN	RNASEH2A
POP7_HUMAN	POP7
ZN189_HUMAN	ZNF189
EIF3G_HUMAN	EIF3G
EIF3J_HUMAN	EIF3J
SPI2_HUMAN	SERPINI2
PSD10_HUMAN	PSMD10
AP1G2_HUMAN	AP1G2
FACE1_HUMAN	ZMPSTE24
IDHC_HUMAN	IDH1
GATB_HUMAN	GATB
SCO1_HUMAN	SCO1
CP7B1_HUMAN	CYP7B1
RBBP9_HUMAN	RBBP9
STAM2_HUMAN	STAM2
AL1L1_HUMAN	ALDH1L1
DGAT1_HUMAN	DGAT1
CCNK_HUMAN	CCNK
DHRS3_HUMAN	DHRS3
PAK3_HUMAN	PAK3
PRAF3_HUMAN	ARL6IP5
DYSF_HUMAN	DYSF
SPF27_HUMAN	BCAS2
DCTN3_HUMAN	DCTN3
DNJC8_HUMAN	DNAJC8
SPF30_HUMAN	SMNDC1
ATP5H_HUMAN	ATP5PD
TSN9_HUMAN	TSPAN9
FLOT1_HUMAN	FLOT1
ATP5L_HUMAN	ATP5MG
CBPD_HUMAN	CPD
GLRX3_HUMAN	GLRX3
KRT36_HUMAN	KRT36
RL1D1_HUMAN	RSL1D1
WFS1_HUMAN	WFS1
ANXA9_HUMAN	ANXA9
CLPX_HUMAN	CLPX
SEGN_HUMAN	SCGN
S14L2_HUMAN	SEC14L2
ERG24_HUMAN	TM7SF2
SYUG_HUMAN	SNCG
CIAO1_HUMAN	CIAO1
PDE5A_HUMAN	PDE5A
SRP72_HUMAN	SRP72
JTB_HUMAN	JTB
DDAH1_HUMAN	DDAH1
RMP_HUMAN	URI1
B3GA3_HUMAN	B3GAT3
MTA2_HUMAN	MTA2
AQP8_HUMAN	AQP8
STK10_HUMAN	STK10
TPPP_HUMAN	TPPP
KBTBB_HUMAN	KBTBD11
TOM70_HUMAN	TOMM70
IPO13_HUMAN	IPO13
DDHD2_HUMAN	DDHD2
MYO1D_HUMAN	MYO1D
SC24D_HUMAN	SEC24D
UFL1_HUMAN	UFL1
SRBS2_HUMAN	SORBS2
CSCL1_HUMAN	TMEM63A
FARP2_HUMAN	FARP2
UBXN7_HUMAN	UBXN7
SUN1_HUMAN	SUN1
PLPHP_HUMAN	PLPBP
ERLN2_HUMAN	ERLIN2
PRP6_HUMAN	PRPF6
PCF11_HUMAN	PCF11
ENDD1_HUMAN	ENDOD1
GLSK_HUMAN	GLS
RHBT3_HUMAN	RHOBTB3
AP2A2_HUMAN	AP2A2
SC31A_HUMAN	SEC31A
HEXI1_HUMAN	HEXIM1
ZO3_HUMAN	TJP3
UBR5_HUMAN	UBR5
AGFG2_HUMAN	AGFG2
SCAF4_HUMAN	SCAF4
NDUB6_HUMAN	NDUFB6
MFN2_HUMAN	MFN2
ARK73_HUMAN	AKR7A3
UBE4B_HUMAN	UBE4B
ZFPL1_HUMAN	ZFPL1
ELP1_HUMAN	ELP1
UBL3_HUMAN	UBL3
GBRAP_HUMAN	GABARAP
NDUA3_HUMAN	NDUFA3
NDUB4_HUMAN	NDUFB4
NDUB8_HUMAN	NDUFB8
NDUB2_HUMAN	NDUFB2
NDUA7_HUMAN	NDUFA7
VAMP5_HUMAN	VAMP5
LETM1_HUMAN	LETM1
EPN2_HUMAN	EPN2
STBD1_HUMAN	STBD1
ZRAB2_HUMAN	ZRANB2
SNX4_HUMAN	SNX4
LC7L3_HUMAN	LUC7L3
APOL3_HUMAN	APOL3
MTMR5_HUMAN	SBF1
GOSR1_HUMAN	GOSR1
KAT7_HUMAN	KAT7
VAPB_HUMAN	VAPB
MPZL1_HUMAN	MPZL1
NDUC2_HUMAN	NDUFC2
NDUAA_HUMAN	NDUFA10
FKBP9_HUMAN	FKBP9
CELF2_HUMAN	CELF2
6PGL_HUMAN	PGLS
PAPS2_HUMAN	PAPSS2
ATG7_HUMAN	ATG7
SYFM_HUMAN	FARS2
LYPA2_HUMAN	LYPLA2
IPO7_HUMAN	IPO7
ARI2_HUMAN	ARIH2
TFIP8_HUMAN	TNFAIP8
SLU7_HUMAN	SLU7
AGM1_HUMAN	PGM3
MOCS3_HUMAN	MOCS3
UTS2_HUMAN	UTS2
CD2B2_HUMAN	CD2BP2
BRI3_HUMAN	BRI3
SVIL_HUMAN	SVIL
PIGN_HUMAN	PIGN
AHSA1_HUMAN	AHSA1
PARN_HUMAN	PARN
GNAS3_HUMAN	GNAS
SGPL1_HUMAN	SGPL1
CNEP1_HUMAN	CTDNEP1
G6PE_HUMAN	H6PD
SC24A_HUMAN	SEC24A
SC24B_HUMAN	SEC24B
CBX6_HUMAN	CBX6
TYDP2_HUMAN	TDP2
SFT2B_HUMAN	SFT2D2
MPC2_HUMAN	MPC2
ACSL3_HUMAN	ACSL3
PCNT_HUMAN	PCNT
YETS4_HUMAN	YEATS4
STABP_HUMAN	STAMBP
ASML_HUMAN	ASMTL
CDS2_HUMAN	CDS2
K2C75_HUMAN	KRT75
RAB3D_HUMAN	RAB3D
SNP29_HUMAN	SNAP29
OXSR1_HUMAN	OXSR1
HS74L_HUMAN	HSPA4L
PTBP3_HUMAN	PTBP3
TBCD8_HUMAN	TBC1D8
STR3N_HUMAN	STARD3NL
LSM8_HUMAN	LSM8
AP2A1_HUMAN	AP2A1
DDX58_HUMAN	DDX58
STAU1_HUMAN	STAU1
TTC4_HUMAN	TTC4
CAVN2_HUMAN	CAVIN2
BAG2_HUMAN	BAG2
BAG3_HUMAN	BAG3
M4K4_HUMAN	MAP4K4
DCMC_HUMAN	MLYCD
AIFM1_HUMAN	AIFM1
CLD1_HUMAN	CLDN1
EMAL2_HUMAN	EML2
BPNT1_HUMAN	BPNT1
DDAH2_HUMAN	DDAH2
ABHGA_HUMAN	ABHD16A
CF047_HUMAN	C6orf47
TXD12_HUMAN	TXNDC12
MBD3_HUMAN	MBD3
TOP3B_HUMAN	TOP3B
NUDT3_HUMAN	NUDT3
AGR2_HUMAN	AGR2
BCL10_HUMAN	BCL10
NDUBA_HUMAN	NDUFB10
CLPT1_HUMAN	CLPTM1
MOC2B_HUMAN	MOCS2
TOM40_HUMAN	TOMM40
PX11B_HUMAN	PEX11B
PAK4_HUMAN	PAK4
ACL6A_HUMAN	ACTL6A
MOC2A_HUMAN	MOCS2
CYB5_HUMAN	CYB5A
ADH1B_HUMAN	ADH1B
ADH1G_HUMAN	ADH1C
LDHA_HUMAN	LDHA
AL1A1_HUMAN	ALDH1A1
DHE3_HUMAN	GLUD1
NB5R3_HUMAN	CYB5R3
GSHR_HUMAN	GSR
COX2_HUMAN	MT-CO2
SODC_HUMAN	SOD1
OTC_HUMAN	OTC
F13A_HUMAN	F13A1
PNPH_HUMAN	PNP
HPRT_HUMAN	HPRT1
AATM_HUMAN	GOT2
EGFR_HUMAN	EGFR
PGK1_HUMAN	PGK1
KAD1_HUMAN	AK1
HPT_HUMAN	HP
FA9_HUMAN	F9
FA10_HUMAN	F10
CFAB_HUMAN	CFB
ATP6_HUMAN	MT-ATP6
CAH2_HUMAN	CA2
ASSY_HUMAN	ASS1
ISK1_HUMAN	SPINK1
ANT3_HUMAN	SERPINC1
A1AT_HUMAN	SERPINA1
AACT_HUMAN	SERPINA3
ANGT_HUMAN	AGT
A2MG_HUMAN	A2M
CO3_HUMAN	C3
CO5_HUMAN	C5
TIMP1_HUMAN	TIMP1
CYTC_HUMAN	CST3
CYTA_HUMAN	CSTA
RASN_HUMAN	NRAS
RASH_HUMAN	HRAS
GLUC_HUMAN	GCG
NPY_HUMAN	NPY
INS_HUMAN	INS
KV320_HUMAN	IGKV3-20
LV147_HUMAN	IGLV1-47
LV223_HUMAN	IGLV2-23
PIGR_HUMAN	PIGR
IGKC_HUMAN	IGKC
IGHG1_HUMAN	IGHG1
IGHG2_HUMAN	IGHG2
IGHA1_HUMAN	IGHA1
HLAB_HUMAN	HLA-B
DRA_HUMAN	HLA-DRA
DRB1_HUMAN	HLA-DRB1
DQB1_HUMAN	HLA-DQB1
HBD_HUMAN	HBD
CO1A1_HUMAN	COL1A1
CO3A1_HUMAN	COL3A1
CO4A1_HUMAN	COL4A1
CRYAB_HUMAN	CRYAB
K1C14_HUMAN	KRT14
K2C6A_HUMAN	KRT6A
LMNA_HUMAN	LMNA
APOA1_HUMAN	APOA1
APOE_HUMAN	APOE
APOA2_HUMAN	APOA2
APOC1_HUMAN	APOC1
FIBA_HUMAN	FGA
FIBB_HUMAN	FGB
FIBG_HUMAN	FGG
CRP_HUMAN	CRP
SAMP_HUMAN	APCS
C1QB_HUMAN	C1QB
C1QC_HUMAN	C1QC
CO9_HUMAN	C9
FINC_HUMAN	FN1
RET4_HUMAN	RBP4
AMBP_HUMAN	AMBP
TTHY_HUMAN	TTR
ALBU_HUMAN	ALB
VTDB_HUMAN	GC
TFR1_HUMAN	TFRC
TRFE_HUMAN	TF
FRIL_HUMAN	FTL
FRIH_HUMAN	FTH1
VTNC_HUMAN	VTN
HMDH_HUMAN	HMGCR
CATA_HUMAN	CAT
RAF1_HUMAN	RAF1
PA21B_HUMAN	PLA2G1B
GLCM_HUMAN	GBA
ALDOA_HUMAN	ALDOA
CYTB_HUMAN	CSTB
ANXA1_HUMAN	ANXA1
COL_HUMAN	CLPS
PRIO_HUMAN	PRNP
SODM_HUMAN	SOD2
THY1_HUMAN	THY1
HG2A_HUMAN	CD74
K2C6B_HUMAN	KRT6B
K2C1_HUMAN	KRT1
VWF_HUMAN	VWF
TBB4A_HUMAN	TUBB4A
G3P_HUMAN	GAPDH
ARLY_HUMAN	ASL
HLAA_HUMAN	HLA-A
CPNS1_HUMAN	CAPNS1
AMYP_HUMAN	AMY2A
HSPB1_HUMAN	HSPB1
CY24B_HUMAN	CYBB
RPN1_HUMAN	RPN1
RPN2_HUMAN	RPN2
GNAI2_HUMAN	GNAI2
H2A1B_HUMAN	H2AC4
H2A1B_HUMAN	H2AC8
B3A2_HUMAN	SLC4A2
GLPC_HUMAN	GYPC
AT1A1_HUMAN	ATP1A1
AT1B1_HUMAN	ATP1B1
SCG1_HUMAN	CHGB
ALDOB_HUMAN	ALDOB
A4_HUMAN	APP
ARGI1_HUMAN	ARG1
APOD_HUMAN	APOD
ALDH2_HUMAN	ALDH2
ITB2_HUMAN	ITGB2
S10A8_HUMAN	S100A8
HMGN1_HUMAN	HMGN1
ADT2_HUMAN	SLC25A5
IC1_HUMAN	SERPING1
ISG15_HUMAN	ISG15
LEG2_HUMAN	LGALS2
PERM_HUMAN	MPO
PCCA_HUMAN	PCCA
PCCB_HUMAN	PCCB
PPBT_HUMAN	ALPL
IF2A_HUMAN	EIF2S1
HMGN2_HUMAN	HMGN2
ICAM1_HUMAN	ICAM1
RLA1_HUMAN	RPLP1
RLA2_HUMAN	RPLP2
